Airport,Iata,city_id
Dowagiac Station,\N,2857
Doylestown Airport,KDYL,2858
Drummond Island Airport,KDRM,2859
Dry Tortugas,\N,2860
Dry Tortugas,\N,2861
Dry Tortugas,\N,2862
DuBois Regional Airport,KDUJ,2863
W H 'Bud' Barron Airport,KDBN,2864
Dubuque Regional Airport,KDBQ,2865
Duluth International Airport,KDLH,2866
Halliburton Field,KDUC,2867
Chautauqua County-Dunkirk Airport,KDKK,2868
Dunsmuir Station,\N,2869
Durango La Plata County Airport,KDRO,2870
Durham Amtrak Station,\N,2871
Eagle County Airport,\N,2872
Eagle Airport,PAEG,2873
Eagle River Union Airport,KEGV,2874
Airport MBTA Station,\N,2875
East Chicago Station,\N,2876
East Glacier Park Amtrak Station,\N,2877
Northport Station,\N,2878
St. Louis Downtown Airport,\N,2879
Stroudsburg-Pocono Airport,\N,2880
Stroudsburg Pocono,\N,2881
Iosco County Airport,K6D9,2882
East Troy Municipal Airport,K57C,2883
Easton Newnam Field,KESN,2884
Mc Entire Joint National Guard Base,KMMT,2885
Eastport Municipal Airport,KEPM,2886
Orcas Island Airport,KORS,2887
Chippewa Valley Regional Airport,KEAU,2888
Flying Cloud Airport,KFCM,2889
Massey Ranch Airpark Airport,\N,2890
Edwards Air Force Base,KEDW,2891
Eek Airport,PAEE,2892
Effingham Memorial Airport,KEFH,2893
Egegik Airport,PAII,2894
Ekwok Airport,\N,2895
Gillespie Field,KSEE,2896
El Centro Naf Airport,KNJK,2897
South Arkansas Regional At Goodwin Field,KELD,2898
El Dorado Springs Memorial Airport,K87K,2899
El Monte Airport,KEMT,2900
El Paso International Airport,KELP,2901
Biggs Army Air Field (Fort Bliss),KBIF,2902
Carl Folsom Airport,\N,2903
Elfin Cove Seaplane Base,PAEL,2904
Elim Airport,PFEL,2905
Elizabeth City Regional Airport & Coast Guard Air Station,KECG,2906
Elizabethton Municipal Airport,\N,2907
Elizabethtown Station,\N,2908
Elkhart Municipal,\N,2909
Elkhart Station,\N,2910
Elkhart Municipal Airport,KEKM,2911
Elkhart Morton County Airport,KEHA,2912
Elkins-Randolph Co-Jennings Randolph Field,KEKN,2913
Elko Regional Airport,KEKO,2914
Colorado Springs East Airport,KA50,2915
Gilmer County Airport,\N,2916
Elmhurst Station,\N,2917
Elmira Corning Regional Airport,KELM,2918
Ely Municipal Airport,KELO,2919
Ely Airport Yelland Field,KELY,2920
Elyria Station,\N,2921
Emeryville Amtrak Station,\N,2922
Emmonak Airport,PAEM,2923
Emporia Municipal Airport,\N,2924
Emporia Greensville Regional Airport,KEMV,2925
Tri Cities Airport,KCZG,2926
Hyde County Airport,K7W6,2927
Vance Air Force Base,KEND,2928
Enterprise Municipal Airport,KEDN,2929
Enumclaw Airport,WA77,2930
Ephraim-Gibraltar Airport,\N,2931
Erie International Tom Ridge Field,KERI,2932
Union Station,\N,2933
Delta County Airport,KESC,2934
Weedon Field,KEUF,2935
Mahlon Sweet Field,KEUG,2936
Eugene Amtrak Station,\N,2937
Murray Field,KEKA,2938
Evanston-Uinta County Airport-Burns Field,KEVW,2939
Evanston Main Street Station,\N,2940
Evanston Davis Street Station,\N,2941
Evanston Central Street Station,\N,2942
